Brand 1,acura,audi,bmw,chrysler,dodge,ford,honda,infiniti,toyota,volkswagen
acura,-,1.2024482493680801,0.8607286738747001,0.2585866971049081,-,0.5874068181148531,4.332125283597041,4.149414441915969,1.0813625515296161,-
audi,-,-,1.6826375475279909,0.5055108526607613,-,0.0956934124378396,0.6220071808459575,2.02792144381352,0.6039869927894811,1.5502332814930018
bmw,-,-,-,0.25705296817783274,-,0.21897104696630199,0.25546622146068565,1.4780545670225385,0.3839102771487113,0.5912218268090155
chrysler,-,-,-,-,36.11594202898551,5.350509930220075,0.6688137412775094,1.2598584428715873,1.4071146245059287,-
dodge,-,-,-,-,-,7.6913580246913575,1.2818930041152263,-,-,-
ford,-,-,-,-,-,-,1.5192805974698977,0.3577375825437841,0.7991021324354658,6.153086419753087
honda,-,-,-,-,-,-,-,0.7154751650875683,7.191919191919192,-
infiniti,-,-,-,-,-,-,-,-,0.7526427061310782,-
toyota,-,-,-,-,-,-,-,-,-,-
volkswagen,-,-,-,-,-,-,-,-,-,-
